,pv
0,11.159895721590146
1,11.298635309329256
2,11.164654314983636
3,11.265458482084796
4,11.964747574646026
5,11.932385999243706
6,11.767543504945934
7,103.91066244477406
8,124.44045824045315
9,324.2987137546879
10,425.5451349616051
11,429.62596709636273
12,701.7064902726561
13,678.7010311357444
14,400.74574034137186
15,665.8761670589447
16,590.8299154512351
17,395.44378273410257
18,151.7008221022552
19,25.73869617609307
20,11.775025234557688
21,10.83514958678279
22,11.278365222271532
23,11.577915142290294
